公园名称,公园位置,POI类别,POI名称,POI地址,POI位置,POI电话,POI评分,POI距离
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,小茶园茶餐厅(芙蓉公寓D区店),小茶园荷花路577号,"113.043363,28.191681",18075170302,4.3,315
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,浏阳蒸菜·现炒小碗菜(万家丽店),东屯渡街道荷花路高岭小区6栋1号,"113.042958,28.191059",13786357809,3.3,320
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,福兴木甑饭(高岭店),扬高路与纵一路交叉口东120米,"113.042752,28.190258",18397535466,4.2,323
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,老成都手撕烤兔(万家丽店),东屯渡街道高岭小区9栋112,"113.042754,28.190490",[],3.6,325
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,丹妹麻辣烫(高岭小区店),东屯渡街道高岭小区12栋108号丹妹麻辣烫,"113.042668,28.190167",13677306852,4.2,331
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,冒菜西施(长沙店),东屯渡街道村民安置房高岭小区110号,"113.042906,28.189008",18526794414,4.2,332
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,正哥蒸菜馆,扬高路与纵一路交叉口东100米,"113.042577,28.190121",[],[],340
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,攸县米粉店,高岭小区67栋,"113.042569,28.189984",17773372165;19522578830,4.1,341
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,恰甜cake·生日蛋糕,高岭小区31栋10号底层门面(傅家湾路50号),"113.043627,28.187889",19973842838,3.7,344
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,金牌猪脚饭,扬高路与纵一路交叉口东100米,"113.042525,28.190175",[],[],345
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,青馋新疆炒米粉(高岭小区店),高岭小区,"113.042669,28.191072",18620710920,3.5,347
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,茶咖空间,芙蓉公寓C区,"113.042926,28.191631",[],2.6,349
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,春日喜雨·泰奶·老挝冰咖啡(高岭小区店),高岭小区2栋3单元,"113.042627,28.191052",19873154369,3.7,351
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,刘聋子粉面馆(万家丽店),沙湾路1688号长房白沙湾公园A2栋105号门面,"113.044772,28.193091",15271940853;19918870774,3.6,353
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,漫猫咖啡酒馆(芙蓉店),芙蓉公寓C栋108号门店,"113.042795,28.191539",[],3.9,355
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,正宗武汉特色原味鸭霸王,高岭小区九栋二号底层门店,"113.042417,28.190546",18216487916,3.6,359
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,阿杜打边炉(浏阳河婚庆园店),浏阳河大道与连姻路交叉口西北40米,"113.046007,28.193399",0731-89691789;19911377857,4.6,364
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,和园·家宴,荷花路与纵一路交叉口东120米,"113.042681,28.191647",[],3.9,371
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,湘域小吧花园餐厅(湘域熙岸店),圭河路与白沙湾路交汇处西北50米,"113.044448,28.187097",0731-85895478,4.0,371
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙小天鹅国际公馆,东屯渡街道浏阳河大道二段300号浏阳河婚庆公园A1-401,"113.045217,28.189627",13294637607,4.7,98
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙暮舍酒店,荷花路469号芙蓉公寓E区117号门面,"113.046195,28.191580",0731-82233366;18073181555,4.4,162
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙琴缘家庭旅馆,高岭小区8栋5单元2楼,"113.044112,28.190808",18673338756,4.1,204
浏阳河婚庆文化园,"113.046049,28.190126",住宿,温馨家庭旅馆(长沙高岭店),高岭小区4栋3单元,"113.043945,28.191023",13974936313,2.2,229
浏阳河婚庆文化园,"113.046049,28.190126",住宿,尚成酒店(长沙万家丽广场店),沙湾路1688号,"113.043995,28.193067",0731-89860888,4.5,384
浏阳河婚庆文化园,"113.046049,28.190126",住宿,佳乐福旅馆,荷花路高岭小区3栋1单元201,"113.043032,28.191061",15874125223,[],313
浏阳河婚庆文化园,"113.046049,28.190126",住宿,柏曼酒店(长沙万家丽广场地铁站扬帆夜市店),荷花路628号,"113.041003,28.191060",19375167561,4.7,505
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙幸福旅馆(万家丽国际MALL人民东路地铁站店),高岭小区71栋3单元2-3楼,"113.041875,28.190001",15802668402;18274884790,4.6,409
浏阳河婚庆文化园,"113.046049,28.190126",住宿,种子柚民宿(万家丽国际MALL商圈1号店),沙湾路1088号江河双水湾9栋1单元504室,"113.049835,28.187776",15616172033,5.0,454
浏阳河婚庆文化园,"113.046049,28.190126",住宿,四季欢住酒店,长房·白沙湾南2门旁,"113.044003,28.193158",19073134897,[],392
浏阳河婚庆文化园,"113.046049,28.190126",住宿,汉庭酒店(长沙万家丽广场店),浏阳河大道二段98号,"113.044539,28.194688",0731-82666688;0731-88220688,4.7,529
浏阳河婚庆文化园,"113.046049,28.190126",住宿,湘缘宾馆,傅家湾路与纵二路交叉口东北20米,"113.043225,28.188001",[],[],364
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙福顺家庭旅馆,荷花路高领小区72栋,"113.041199,28.189980",0731-84552338;17773158571,4.9,476
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙青柚公寓,扬高路与纵一路交叉口东100米,"113.042575,28.190225",[],[],341
浏阳河婚庆文化园,"113.046049,28.190126",住宿,众和L酒店,古曲中路898号,"113.039417,28.190265",0731-89822888;0731-89857888,4.9,650
浏阳河婚庆文化园,"113.046049,28.190126",住宿,猜猜1028公寓(双水湾支路分店),双水湾支路江河双水湾(花桥地铁站1B口步行480米),"113.048585,28.187181","+861056320612,31618195;010-56320606,31618195",[],411
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙雯雯家的3室2厅民宿,人民东路双水湾小区,"113.048640,28.187090",[],[],422
浏阳河婚庆文化园,"113.046049,28.190126",住宿,如归家庭旅馆(长沙高岭小区店),荷花路高岭小区46栋五单元2楼,"113.041284,28.189007",13875851171,4.4,483
浏阳河婚庆文化园,"113.046049,28.190126",住宿,普通村民公寓(沙湾路分店),沙湾路江河·双水湾江河双水湾沙湾路1088号江河双水湾,"113.048371,28.186078","+861056320612,2277403",4.5,504
浏阳河婚庆文化园,"113.046049,28.190126",住宿,城市便捷酒店(长沙万家丽广场店),荷花路562号(荷花路与古曲路交叉口芙蓉明珠大厦),"113.039230,28.191102",0731-89708899;0731-89858989,4.7,677
浏阳河婚庆文化园,"113.046049,28.190126",住宿,云游酒店(长沙万家丽广场地铁站杨帆夜市店),古曲中路高岭小区75号栋5楼,"113.039898,28.188490",19307488298,4.5,630
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙鑫宇宾馆(高岭店),扬高路高岭小区73栋2单元2楼,"113.040371,28.190044",0731-89842199;17752713892,4.8,557
浏阳河婚庆文化园,"113.046049,28.190126",住宿,E+电竞酒店(长沙万家丽广场店),东渡渡街道荷花路562号芙蓉明珠大厦6楼,"113.039443,28.191060",13397491711,4.4,656
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙星期五旅馆,马王堆扬高路高岭小区79栋2单元2楼,"113.040149,28.190231",13272010712;17718938114,4.8,579
浏阳河婚庆文化园,"113.046049,28.190126",住宿,海棠小筑W民宿(万家丽广场店),高岭小区75栋四单元3楼,"113.039419,28.188494","15574950371;19907490908;+861056320612,39657672",4.8,675
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙金悦商务宾馆(万家丽广场店),马王堆金科佳苑30栋,"113.041702,28.194616",19974883737,4.4,657
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙斯维登服务公寓(浏阳河婚庆公园),东屯渡浏阳河大道二段98号鑫科明珠10栋,"113.043931,28.194970",0731-84424077,[],577
浏阳河婚庆文化园,"113.046049,28.190126",住宿,漫屋民宿(长嘉路2号分店),长嘉路鑫科·明珠9栋鑫科明珠,"113.042221,28.194696","+861056320612,15378463;021-26137886,15378463",4.7,632
浏阳河婚庆文化园,"113.046049,28.190126",住宿,洋航公寓,纵一路与傅家湾路交叉口西北80米,"113.041070,28.188525",[],[],520
浏阳河婚庆文化园,"113.046049,28.190126",住宿,漫屋民宿欢迎你(万家丽国际MALL商圈5号店),鑫科明珠9栋一单元403房间,"113.043187,28.195580",18163682888,2.0,668
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙鑫园宾馆,古曲路高岭小区77栋1单元,"113.039262,28.188002",15570725988;18075194818,4.1,706
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙华大轻奢酒店(万家丽广场扬帆夜市店),东屯街道农科村古曲中路1180号楚晟公馆108号,"113.039321,28.194853",0731-89778666;15367868756,4.8,844
浏阳河婚庆文化园,"113.046049,28.190126",住宿,鱼鱼子公寓(浏阳河大道分店),浏阳河大道鑫科·明珠鑫科明珠,"113.043588,28.195608",[],4.6,656
浏阳河婚庆文化园,"113.046049,28.190126",住宿,汉庭酒店(长沙万家丽人民东路地铁站店),东屯渡街道人民东路315号(人民东路地铁站4号口旁),"113.039694,28.184765",0731-81858555,4.7,863
浏阳河婚庆文化园,"113.046049,28.190126",住宿,九0家庭旅馆,古曲中路农科金苹果服饰大市场29栋5单元(距万家丽广场站约988米),"113.041667,28.194891",0731-84712597;18229987198;18973171052,[],682
浏阳河婚庆文化园,"113.046049,28.190126",住宿,天诚民宿,扬帆小区E区19栋206室,"113.038265,28.189070",13974309308,4.9,772
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙万家丽中路马王堆亚朵酒店,远大一路980号,"113.041232,28.197430",17700598869,4.8,940
浏阳河婚庆文化园,"113.046049,28.190126",住宿,众和酒店公寓楼,古曲中路898号,"113.039423,28.190241",[],[],650
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙悦源旅馆,花桥社区七栋二单元二楼(花桥地铁站1A口旁),"113.047351,28.183341",15073196305,4.0,766
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙365家庭旅馆,古曲中路金科佳苑10栋3单元,"113.039912,28.194690",18774053422;19375132398,4.8,787
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙遇见小区住宅,东屯渡街道鑫科明珠6栋一单元1803,"113.043195,28.195581",[],[],668
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙鑫园家庭旅馆,黎托街道花桥刚才市场7栋一单元2楼,"113.047408,28.183379",13787311800,3.7,762
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙一家一旅馆,金科佳苑20栋1单元,"113.040336,28.194721",15673637918,3.6,758
浏阳河婚庆文化园,"113.046049,28.190126",住宿,万顺旅馆(法院路),东屯渡街道扬帆小区10栋一单元,"113.038238,28.189650",13337311607;17071469713,3.4,768
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙沐沐之家公寓(8号店),湘域熙岸(西2门)(人民东路地铁站4号出口),"113.041568,28.185195","+861056320612,134524",[],703
浏阳河婚庆文化园,"113.046049,28.190126",住宿,如意家庭旅馆(长沙扬帆店),杨帆小区E区19栋,"113.038435,28.189164",13787039581,3.5,754
浏阳河婚庆文化园,"113.046049,28.190126",住宿,优居优住(三和家园店),三和家园西门旁,"113.039111,28.189259",[],[],687
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙域见美好酒店(万家丽广场扬帆夜市店),古曲中路1209号,"113.038737,28.196187",0731-85494999;13319594999,4.9,984
浏阳河婚庆文化园,"113.046049,28.190126",住宿,宜品酒店(长沙万家丽广场店),远大一路968号,"113.040798,28.197424","0731-82938888;18108478148;0731-82938888,0",4.5,961
浏阳河婚庆文化园,"113.046049,28.190126",住宿,福泽园民宿,杨帆小区F3栋3单元206号,"113.038199,28.187588",18229876489,3.9,820
浏阳河婚庆文化园,"113.046049,28.190126",购物,三喜three,浏阳河大道二段305号浏阳河婚庆文化园,"113.045970,28.190633",[],3.3,56
浏阳河婚庆文化园,"113.046049,28.190126",购物,国津茶馆,浏阳河大道300号婚庆文化园A2-116号,"113.046272,28.190752",0731-84116067,4.2,73
浏阳河婚庆文化园,"113.046049,28.190126",购物,四汖单丛(婚庆园店),荷花路婚庆园A2-114,"113.046379,28.190806",15211011211;15211100877,4.3,82
浏阳河婚庆文化园,"113.046049,28.190126",购物,FN女装(浏阳河婚庆园店),浏阳河大道305号浏阳河婚庆园A2,"113.045465,28.190743",[],3.5,89
浏阳河婚庆文化园,"113.046049,28.190126",购物,西装秦(长沙浏阳河婚庆园店),浏阳河大道A2-106门面,"113.045811,28.190998",19908465777,4.9,99
浏阳河婚庆文化园,"113.046049,28.190126",购物,咿呀母婴荷花路婚庆公园店,浏阳河大道二段305号浏阳河婚庆文化园(西北角),"113.045682,28.190993",[],4.3,103
浏阳河婚庆文化园,"113.046049,28.190126",购物,花意空间(婚庆园店),浏阳河大道婚庆文化园A2-105号,"113.045820,28.191038",0731-82191112,4.4,103
浏阳河婚庆文化园,"113.046049,28.190126",购物,波司登(长沙总部),东屯渡街道浏阳河大道二段300号婚庆文化园206-211号2楼,"113.046454,28.191081",[],4.3,113
浏阳河婚庆文化园,"113.046049,28.190126",购物,蜜獾奢品,浏阳河大道300号A2-103,"113.045554,28.191058",17352812350;19313032692;19976959991,4.5,114
浏阳河婚庆文化园,"113.046049,28.190126",购物,全佳便利店,东屯路街道荷花东路浏阳河休闲风光带婚庆文化园全佳便利店,"113.046933,28.190839",[],3.8,117
浏阳河婚庆文化园,"113.046049,28.190126",购物,Ai超市,浏阳河大道与荷花路交叉口南60米,"113.047131,28.190842",[],[],132
浏阳河婚庆文化园,"113.046049,28.190126",购物,西西里花艺美学馆(芙蓉公寓E区店),长沙市芙蓉区荷花路705号芙蓉公寓E2-115门面,"113.046423,28.191580",13467693865;13873163127,4.2,165
浏阳河婚庆文化园,"113.046049,28.190126",购物,湘之醇烟酒商行,荷花路469号芙蓉公寓E区,"113.046309,28.191605",[],3.4,166
浏阳河婚庆文化园,"113.046049,28.190126",购物,DD DESIGN(DD高端定制),浏阳河婚庆文化园辣妈俱乐部(做电梯上一楼),"113.045800,28.188610",[],4.0,170
浏阳河婚庆文化园,"113.046049,28.190126",购物,22买手店(原FFOUND),东屯渡街道浏阳河婚庆文化园南门辣妈俱乐部一楼,"113.045869,28.188585",13319609688,3.9,172
浏阳河婚庆文化园,"113.046049,28.190126",购物,新思义食品经营部(高岭小区店),高岭小区,"113.044215,28.190589",15307481960,4.3,187
浏阳河婚庆文化园,"113.046049,28.190126",购物,芙蓉兴盛便利超市(高岭小区店),荷花南路高岭小区10栋一单元,"113.044121,28.190001",13117413492;18229928108,4.1,189
浏阳河婚庆文化园,"113.046049,28.190126",购物,陈德食品店(高岭小区店),高岭小区,"113.044253,28.189472",[],3.8,190
浏阳河婚庆文化园,"113.046049,28.190126",购物,满满恰货铺(高岭小区店),高岭小区16栋底商,"113.044103,28.190034",[],4.4,191
浏阳河婚庆文化园,"113.046049,28.190126",购物,八马茶业(长沙婚庆公园店),东屯渡街道荷花路469号芙蓉公寓E13栋113-01,"113.045073,28.191644",15084845451,4.3,194
浏阳河婚庆文化园,"113.046049,28.190126",购物,QVQMi全球美妆集合店,白沙湾路与荷花路交叉口南60米,"113.044175,28.190757",[],[],196
浏阳河婚庆文化园,"113.046049,28.190126",购物,熹茗茶业(婚庆公园店),荷花路655号芙蓉公寓E1-3栋107门面,"113.044740,28.191644",13467851050,4.2,212
浏阳河婚庆文化园,"113.046049,28.190126",购物,强盛体育(高岭小区店),高岭小区16栋(菜鸟驿站),"113.043882,28.190048",[],2.7,212
浏阳河婚庆文化园,"113.046049,28.190126",购物,湘发玻璃不锈钢,高岭小区,"113.043954,28.190773",18821882699,3.5,217
浏阳河婚庆文化园,"113.046049,28.190126",购物,橘子皮宠物用品店,高岭小区,"113.043928,28.190731",[],3.5,218
浏阳河婚庆文化园,"113.046049,28.190126",购物,云宠乐园(宠物基地活体售卖),东屯渡街道浏阳河大道300号婚庆文化园B1-201,"113.046666,28.192039",18873123187,4.8,221
浏阳河婚庆文化园,"113.046049,28.190126",购物,顶俏洗衣液工厂店,白沙湾路与荷花路交叉口西南160米,"113.043775,28.190025",[],0.6,223
浏阳河婚庆文化园,"113.046049,28.190126",购物,渴渴溪岭酒业(万家丽店),高岭小区20栋东门,"113.043866,28.190773",17708465050,4.0,225
浏阳河婚庆文化园,"113.046049,28.190126",购物,绿叶水果(长沙婚庆公园店),荷花路469号芙蓉公寓E1-3栋102门面,"113.044581,28.191698",15116289498;17375701927;4000498488,4.1,226
浏阳河婚庆文化园,"113.046049,28.190126",购物,才猫双犬(高岭小区店),高岭小区26栋底层,"113.044281,28.188787",15675883993,4.0,228
浏阳河婚庆文化园,"113.046049,28.190126",购物,零食很忙(长沙婚庆公园店),芙蓉公寓E区西门南70米,"113.044629,28.191785",13873028321,4.0,231
浏阳河婚庆文化园,"113.046049,28.190126",购物,汪之星球宠物生活馆(高岭小区店),高岭小区26栋四单元沙湾路1071号,"113.044333,28.188678",18373196108;18673298619;19330891786,4.3,233
浏阳河婚庆文化园,"113.046049,28.190126",购物,绿色果业(婚庆公园店),东屯街道高岭小区4栋12号底层房层,"113.043915,28.191133",13787157564;18207409588,4.3,237
浏阳河婚庆文化园,"113.046049,28.190126",购物,予礼·鲜花礼品定制,白沙湾路与荷花路交叉口东北60米,"113.044647,28.191886",[],[],239
浏阳河婚庆文化园,"113.046049,28.190126",购物,XDS喜德盛自行车(长沙市婚庆公园专卖店),东屯渡街道高岭小区4栋10号底层,"113.043878,28.191109",15211312563;18574622690,4.9,239
浏阳河婚庆文化园,"113.046049,28.190126",购物,研宝烟酒食品(高岭小区店),高岭小区,"113.044377,28.188518",18692100212,4.3,242
浏阳河婚庆文化园,"113.046049,28.190126",购物,吉盟超市(高岭小区店),高岭小区19栋,"113.043618,28.189491",0731-82500309,4.0,248
浏阳河婚庆文化园,"113.046049,28.190126",购物,鑫盛奢品(高岭小区店),高岭小区,"113.043785,28.191133",[],3.8,248
浏阳河婚庆文化园,"113.046049,28.190126",购物,春衫服装,东屯渡街道高岭小区41-1,"113.043744,28.191068",[],1.8,249
浏阳河婚庆文化园,"113.046049,28.190126",购物,优百便利店(芙蓉公寓店),荷花路469号芙蓉公寓E区,"113.044581,28.191965",[],3.5,250
浏阳河婚庆文化园,"113.046049,28.190126",购物,乐尔乐(芙蓉公寓E区店),荷花路469号芙蓉公寓E区,"113.044601,28.191978",15707482038,4.2,250
浏阳河婚庆文化园,"113.046049,28.190126",购物,素君食品店(荷花路店),高岭小区4栋,"113.043686,28.191023",0731-84480393;13975194524,3.6,252
浏阳河婚庆文化园,"113.046049,28.190126",购物,想来超市(高岭小区店),荷花路与白沙湾路交叉口西南100米,"113.043557,28.190773",[],3.6,254
浏阳河婚庆文化园,"113.046049,28.190126",购物,研宝社区团购(高岭小区店),高岭小区,"113.044125,28.188475",[],3.6,263
浏阳河婚庆文化园,"113.046049,28.190126",购物,春河渔具(高岭小区店),白沙湾路1047号高岭小区30栋一楼东边门面,"113.044400,28.188185",17375767990,4.2,269
浏阳河婚庆文化园,"113.046049,28.190126",购物,MZ studio(高岭小区店),高岭小区,"113.043248,28.189577",[],2.7,281
浏阳河婚庆文化园,"113.046049,28.190126",购物,长沙市芙蓉区豪鹰烟酒,浏阳河大道与荷花路交叉口北140米,"113.047033,28.192511",[],3.8,282
浏阳河婚庆文化园,"113.046049,28.190126",购物,茅台酱香.万家共享浏阳河店(豪鹰烟酒),浏阳河大道300号,"113.047049,28.192523",[],4.1,284
浏阳河婚庆文化园,"113.046049,28.190126",购物,FANNCEDY粉色店,浏阳河大道与连姻路交叉口东南100米,"113.047046,28.192526",[],2.6,284
浏阳河婚庆文化园,"113.046049,28.190126",购物,湖南金壁虎建筑装饰有限公司,浏阳河大道与荷花路交叉口北150米,"113.047136,28.192525",0731-84718219,[],287
浏阳河婚庆文化园,"113.046049,28.190126",学校,乐贝多幼儿园,荷花路高岭小区26栋,"113.043968,28.188758",0731-89676747;17388966747,[],254
浏阳河婚庆文化园,"113.046049,28.190126",学校,长房·白沙湾幼儿园,连姻路与白沙湾路交叉口西220米,"113.042200,28.193064",[],[],499
浏阳河婚庆文化园,"113.046049,28.190126",学校,海豚贝贝幼儿园(白沙湾路),花桥地铁站1B口步行280米,"113.047249,28.185546",0731-83072770,[],523
浏阳河婚庆文化园,"113.046049,28.190126",学校,芙蓉公寓幼儿园,荷花路469号,"113.040999,28.192150",0731-89925309,[],544
浏阳河婚庆文化园,"113.046049,28.190126",学校,博英幼儿园,高岭小区41栋,"113.040458,28.189214",0731-89707291;13873121390,0.0,557
浏阳河婚庆文化园,"113.046049,28.190126",学校,鑫科明珠幼儿园,鑫科明珠小区南门,"113.043568,28.195115",[],[],606
浏阳河婚庆文化园,"113.046049,28.190126",学校,赛特福德幼儿园,人民东路329号湘域熙岸西1门,"113.041812,28.184935",0731-82288899,[],711
浏阳河婚庆文化园,"113.046049,28.190126",学校,长沙市芙蓉区教育局观悦幼儿园,滨河路333号,"113.052750,28.192781",[],[],720
浏阳河婚庆文化园,"113.046049,28.190126",学校,芙蓉区农科宝贝幼儿园,马王堆农科服装大市场27栋,"113.041187,28.195334",13319507973,0.0,750
浏阳河婚庆文化园,"113.046049,28.190126",学校,芙蓉区(公办)浏河心苑幼儿园,农园路,"113.051811,28.195613",[],[],832
浏阳河婚庆文化园,"113.046049,28.190126",学校,人之初·宝贝幼儿园,人民东路(人民东路地铁站1号口步行320米),"113.038238,28.186653",15084744768,0.0,858
浏阳河婚庆文化园,"113.046049,28.190126",学校,长沙市芙蓉区智多星幼儿园,马王堆农科防水市场A25栋,"113.037510,28.193959",0731-84723767;15973325772,0.0,940
浏阳河婚庆文化园,"113.046049,28.190126",学校,长沙市芙蓉区水果魔方幼儿园,东华路65号(人民东路地铁站1号口步行280米),"113.037023,28.186242",19198131671,[],985
浏阳河婚庆文化园,"113.046049,28.190126",学校,莱恩幼儿园东华路校区,东华路65号(人民东路地铁站6号口步行360米),"113.036898,28.186225",[],[],997
浏阳河婚庆文化园,"113.046049,28.190126",文体中心,高朗威士忌俱乐部,荷花路与浏阳河大道交汇处西南50米(浏阳河婚庆公园内),"113.045645,28.190744",15367850599,4.5,79
